Item01,Item02,Item03,Item04,Item05,Item06,Item07,Item08,Item09
laranja,banana,abacaxi,cenoura,carne,ovo,limão,,
laranja,limão,carne,banana,,arroz,,,
laranja,abacaxi,banana,,ovo,feijão,,,
laranja,banana,pão,carne,,,,,
laranja,,,,,,,,
limao,carne,laranja,carne,alface,carne,,,
limao,carne,uva,uva,macarrão,,,,
limao,alho,alface,,,,,,
limao,conhaque,couve-flor,,,,,,
limao,carne,alface,,,,,,
cenoura,brócolis,limão,laranja,couve-flor,,,,
cenoura,brócolis,laranja,macarrão,carne,,,,
cenoura,brócolis,arroz,feijão,beterraba,,,,
cenoura,brócolis,feijão,ovo,beterraba,,,,
cenoura,brócolis,ovo,,beterraba,,,,
pão,manteiga,sal,arroz,ovo,queijo,,,
pão,manteiga,ovo,requeijão,couve-flo,,,,
pão,manteiga,alho,alface,requeijão,cenoura,,,
pão,manteiga,requeijão,beterraba,queijo,beterraba,,,
pão,alho,salame,salame,presunto,,,,
pão,manteiga,requeijão,queijo,calabresa,,queijo,salame,
pão,manteiga,queijo,salame,cebola,queijo,presunto,,
pão,manteiga,presunto,salame,alho,queijo,,,
leite,fralda,lenço,abacaxi,ovo,requeijão,salame,,
leite,fralda,pão,presunto,abacate,ovo,beterraba,,
leite,fralda,pão,beterraba,,café,,,
leite,fralda,pão,,,café,,,
leite,fralda,arroz,,,café,,,
leite,lenço,lenço,café,,,,,
leite,fralda,lenço,café,,,,,
leite,fralda,lenço,café,,,,,
leite,fralda,lenço,café,,,,,
leite,fralda,lenço,café,,,,,
café,leite,açúcar,filtro,pão,biscoito,,,
café,leite,açúcar,filtro,pão,biscoito,,,
café,leite,açúcar,filtro,pão,biscoito,,,
café,leite,açúcar,filtro,pão,adoçante,,,
café,leite,açúcar,filtro,pão,adoçante,,,
café,leite,adoçante,filtro,biscoito,,,,
café,leite,açúcar,biscoito,,,,,
café,leite,açúcar,biscoito,,,,,
café,leite,açúcar,biscoito,,,,,
café,açúcar,adoçante,salame,,,,,
macarrão,queijo ralado,ketchup,alho,ovo,calabresa,,,
macarrão,queijo ralado,ketchup,alho,calabresa,salame,,,
macarrão,queijo ralado,alho,carne,,frango,,,
macarrão,queijo ralado,alho,,,,,,
macarrão,queijo ralado,alho,,,,,,
macarrão,ketchup,frango,,,,,,
macarrão,ketchup,frango,,,,,,
macarrão,ketchup,carne,,,,,,
macarrão,ketchup,,,,,,,
macarrão,,,,,,,,
pizza,ketchup,queijo,refrigerante,guardanapo,calabresa,salame,cebola,
pizza,ketchup,alho,refrigerante,guardanapo,calabresa,salame,cebola,
pizza,ketchup,queijo,refrigerante,palito,calabresa,salame,,
pizza,ketchup,alho,refrigerante,guardanapo,cerveja,milho,,
pizza,ketchup,quejo,refrigerante,palito,calabresa,salame,,
pizza,ketchup,alho,refrigerante,guardanapo,cerveja,milho,,
pizza,ketchup,mostarda,refrigerante,palito,calabresa,salame,,
pizza,ketchup,mostarda,refrigerante,guardanapo,cerveja,milho,,
pizza,ketchup,mostarda,refrigerante,guardanapo,calabresa,salame,,
pizza,ketchup,mostarda,refrigerante,salame,cerveja,milho,,
pizza,ketchup,mostarda,refrigerante,milho,calabresa,,,
pizza,ketchup,mostarda,palito,salame,cerveja,,,
pizza,ketchup,mostarda,palito,milho,cebola,,,
pizza,ketchup,mostarda,palito,salame,cebola,,,
pizza,ketchup,mostarda,palito,milho,cebola,,,
pizza,ketchup,mostarda,palito,,cebola,,,
pizza,ketchup,mostarda,guardanapo,,cebola,,,
pizza,alho,mostarda,guardanapo,,cebola,,,
pizza,alho,mostarda,,,,,,
pizza,,,,,,,,
pizza,alho,,,,,,,
pizza,alho,,,,,,,
pizza,alho,,,,,,,
pizza,alho,ketchup,,,,,,
pizza,ketchup,alho,,,,,,
pizza,alho,ketchup,,,,,,
pizza,ketchup,alho,,,,,,
pizza,alho,,,,,,,
pizza,alho,,,,,,,
cerveja,gelo,calabresa,carvão,pão,refrigerante,,,
,,,,,,,,
cerveja,gelo,calabresa,carvão,pão,refrigerante,,,
,,,,,,,,
cerveja,gelo,calabresa,carvão,pão,refrigerante,,,
cerveja,gelo,calabresa,carvão,pão,refrigerante,,,
cerveja,gelo,calabresa,carvão,pão,refrigerante,,,
cerveja,gelo,limão,carvão,pão,salame,,,
cerveja,gelo,limão,carvão,pão,salame,,,
cerveja,gelo,sal,carvão,pão,refrigerante,,,
cerveja,calabresa,limão,carvão,pão,salame,,,
cerveja,gelo,limão,carvão,pão,,,,
cerveja,gelo,,carvão,pão,,,,
cerveja,,,carvão,pão,,,,
cerveja,gelo,,carvão,,,,,
cerveja,,,carvão,,,,,
cerveja,,,carvão,,,,,
cerveja,,,,,,,,
cerveja,,,,,,,,
,,,,,,,,
